rank,store,domain,score,grade
1,"Dogsee Chew",dogseechew.com,100,A
2,"GoDesi",godesi.in,98,A
3,"Arey",areygrey.com,98,A
4,"SHOEGR",shoegr.com,98,A
5,"Ecoright",ecoright.com,98,A
6,"Verdoie",verdoie.com,98,A
7,"Ficifolia",ficifolia.com,98,A
8,"Minted New York",mintednewyork.com,98,A
9,"indu",indu.me,97,A
10,"Bask and Lather",baskandlather.com,97,A
11,"Sleep or Die",sleepordie.com,97,A
12,"RAS Luxury Oils",rasluxuryoils.com,96,A
13,"Mellow",mellowsleep.com,96,A
14,"Experiment Beauty",experimentbeauty.com,96,A
15,"Ghia",drinkghia.com,96,A
16,"Jimmy's Cocktails",jimmyscocktails.com,96,A
17,"MYDESIGNATION",mydesignation.com,96,A
18,"Kidbea",kidbea.com,96,A
19,"Lil Luv Dog",lilluvdog.com,96,A
20,"Kiki",kikithebrand.com,96,A
21,"Serotonin Beauty",serotoninbeauty.com,96,A
22,"Gramiyaa",gramiyaa.com,95,A
23,"House of Chikankari",houseofchikankari.in,95,A
24,"Bummer",bummer.in,95,A
25,"Vyrao",vyrao.com,95,A
26,"Maggie Marilyn",maggiemarilyn.com,95,A
27,"St. Agni",st-agni.com,95,A
28,"AALLSS",aallss.com,95,A
29,"Moxie Beauty",moxiebeauty.in,94,A
30,"EDRA",edrasports.com,94,A
31,"Catcrew",catcrew.it,94,A
32,"norda",nordarun.com,93,A
33,"Nopalera",nopalera.co,93,A
34,"Cayla Gray",caylagray.com,93,A
35,"Conscious Chemist",consciouschemist.com,92,A
36,"Rasayanam",rasayanam.in,92,A
37,"Oh Norman!",ohnorman.com,92,A
38,"Tea Trunk",teatrunk.com,92,A
39,"Miraggio",miraggiolife.com,92,A
40,"Muddy Bites",muddybites.com,92,A
41,"CDLP",cdlp.com,92,A
42,"Koparo Clean",koparoclean.com,90,A
43,"Hermanos Koumori",hermanoskoumori.com,89,A
44,"Q for Quinn",qforquinn.com,89,A
45,"Fix My Curls",fixmycurls.com,87,A
46,"Ariro Toys",arirotoys.com,87,A
47,"Loom",loom.fr,82,B
48,"Skippi",skippi.in,81,B
49,"KitFox Outfitters",kitfoxoutfitters.com,76,B
50,"Vaaree",vaaree.com,18,F
